                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2044,                 1.0853,                 1.6619,                    0.9,                0.84184,                0.91037,                0.64386,                 1.8514,                 0.9879,                 1.6302,             0.00073953,             0.00073953,             0.00073953
                     35,                 2.2089,                 1.0896,                 1.6599,                0.84647,                0.86702,                 0.9051,                0.63778,                 1.8983,                 0.9954,                 1.6342,             0.00072406,             0.00072406,             0.00072406
                     36,                  2.165,                 1.0668,                 1.6549,                0.89834,                0.84351,                0.91035,                0.64099,                 1.8984,                0.97316,                 1.6337,             0.00070859,             0.00070859,             0.00070859
                     37,                 2.1628,                 1.0617,                 1.6551,                0.85763,                0.86355,                0.91689,                0.63589,                 1.9023,                 1.0204,                 1.6322,             0.00069313,             0.00069313,             0.00069313
                     38,                 2.2022,                 1.0779,                 1.6583,                0.89734,                0.85065,                 0.9092,                0.63496,                 1.9153,                0.97896,                 1.6311,             0.00067766,             0.00067766,             0.00067766
                     39,                 2.1464,                 1.0563,                 1.6541,                0.90522,                0.84195,                0.90818,                0.63973,                 1.9475,                 1.0316,                 1.6398,             0.00066219,             0.00066219,             0.00066219
                     40,                 2.1607,                 1.0527,                 1.6523,                0.90271,                0.82262,                0.90711,                0.63716,                 1.9155,                 1.0013,                 1.6347,             0.00064672,             0.00064672,             0.00064672
                     41,                 2.1354,                 1.0411,                 1.6527,                0.89162,                0.84518,                0.90217,                0.63174,                 1.8907,                 1.0074,                 1.6319,             0.00063125,             0.00063125,             0.00063125
                     42,                 2.1315,                 1.0129,                 1.6478,                0.87709,                0.84826,                0.90573,                0.63572,                 1.8829,                0.97143,                 1.6284,             0.00061578,             0.00061578,             0.00061578
                     43,                 2.1275,                 1.0413,                 1.6535,                0.87777,                0.87411,                0.91682,                 0.6426,                 1.8699,                0.98629,                 1.6287,             0.00060031,             0.00060031,             0.00060031
                     44,                 2.0966,                 1.0033,                 1.6442,                0.83682,                0.88142,                0.89607,                0.63707,                 1.8905,                0.99496,                 1.6313,             0.00058484,             0.00058484,             0.00058484
                     45,                  2.107,                 1.0353,                 1.6515,                0.89375,                0.85811,                0.91355,                0.64524,                 1.9131,                0.96779,                 1.6321,             0.00056938,             0.00056938,             0.00056938
                     46,                 2.0998,                 1.0022,                 1.6528,                0.86959,                0.87831,                0.91804,                0.64491,                 1.9127,                 1.0102,                 1.6329,             0.00055391,             0.00055391,             0.00055391
                     47,                 2.0525,                0.98647,                 1.6438,                0.90255,                0.84535,                0.91229,                0.63572,                 1.8743,                0.97215,                 1.6272,             0.00053844,             0.00053844,             0.00053844
                     48,                 2.0775,                0.98126,                 1.6429,                0.88388,                0.88385,                0.91798,                0.65019,                 1.8423,                 0.9445,                 1.6245,             0.00052297,             0.00052297,             0.00052297
                     49,                 2.0552,                0.97839,                 1.6413,                 0.8854,                0.88965,                0.92229,                0.64529,                 1.8484,                0.95157,                 1.6256,              0.0005075,              0.0005075,              0.0005075
                     50,                 2.0431,                0.97633,                 1.6425,                 0.8781,                 0.8686,                  0.923,                0.64132,                 1.9109,                0.98345,                 1.6288,             0.00049203,             0.00049203,             0.00049203
                     51,                 2.0652,                0.97716,                 1.6502,                 0.8794,                0.87984,                0.91967,                0.65026,                 1.8337,                0.96541,                 1.6231,             0.00047656,             0.00047656,             0.00047656
                     52,                 2.0362,                 0.9698,                 1.6397,                0.90834,                0.85022,                 0.9224,                0.65428,                 1.8405,                0.97851,                 1.6253,             0.00046109,             0.00046109,             0.00046109
                     53,                 2.0308,                0.95539,                 1.6423,                0.90598,                0.86942,                0.91472,                0.64785,                 1.8348,                 0.9394,                 1.6237,             0.00044563,             0.00044563,             0.00044563
                     54,                 2.0415,                0.95131,                 1.6419,                0.90259,                0.85224,                0.91943,                0.65263,                 1.8176,                0.94876,                 1.6212,             0.00043016,             0.00043016,             0.00043016
                     55,                 1.9998,                0.92891,                 1.6363,                0.90024,                0.87084,                0.92089,                0.65899,                 1.8312,                0.96169,                 1.6245,             0.00041469,             0.00041469,             0.00041469
                     56,                 2.0019,                0.93315,                 1.6324,                0.89841,                0.89614,                0.93253,                0.66019,                 1.8662,                0.94728,                 1.6279,             0.00039922,             0.00039922,             0.00039922
                     57,                 1.9881,                0.92735,                 1.6353,                0.90597,                0.86925,                0.92544,                0.66258,                 1.8375,                0.94698,                 1.6235,             0.00038375,             0.00038375,             0.00038375
                     58,                 1.9887,                0.91951,                 1.6378,                0.89287,                0.89832,                0.92431,                 0.6569,                 1.8503,                0.95518,                 1.6242,             0.00036828,             0.00036828,             0.00036828
                     59,                 1.9978,                0.91213,                  1.639,                0.89274,                0.88727,                0.92262,                0.65961,                 1.8429,                0.94527,                 1.6256,             0.00035281,             0.00035281,             0.00035281
                     60,                 1.9804,                0.91263,                 1.6297,                0.90797,                0.88012,                0.93719,                0.66424,                 1.8433,                0.94395,                 1.6231,             0.00033734,             0.00033734,             0.00033734
                     61,                 1.9672,                0.89582,                 1.6296,                0.91477,                0.87932,                0.93164,                0.67521,                 1.8064,                0.91871,                 1.6199,             0.00032188,             0.00032188,             0.00032188
                     62,                 1.9713,                0.91555,                 1.6351,                0.90245,                0.89854,                 0.9352,                0.66487,                 1.8644,                0.94693,                 1.6232,             0.00030641,             0.00030641,             0.00030641
                     63,                 1.9317,                0.88665,                 1.6286,                0.87946,                0.90052,                  0.928,                0.66933,                  1.802,                0.91344,                 1.6182,             0.00029094,             0.00029094,             0.00029094
                     64,                 1.9219,                0.88344,                 1.6249,                0.89157,                0.90409,                0.92128,                0.65777,                  1.835,                0.96901,                 1.6216,             0.00027547,             0.00027547,             0.00027547
                     65,                 1.9467,                0.89367,                 1.6332,                0.91716,                0.89256,                0.93348,                 0.6717,                 1.7879,                0.92594,                 1.6188,                0.00026,                0.00026,                0.00026
                     66,                 1.9197,                0.88415,                 1.6252,                0.89836,                0.90893,                0.93841,                0.66883,                  1.795,                0.91216,                 1.6185,             0.00024453,             0.00024453,             0.00024453
                     67,                 1.8948,                0.84754,                 1.6291,                0.85775,                  0.916,                0.93384,                0.67265,                 1.8082,                0.92008,                 1.6185,             0.00022906,             0.00022906,             0.00022906
                     68,                 1.9159,                0.86074,                 1.6195,                0.89809,                0.90842,                0.92877,                 0.6649,                  1.804,                0.92368,                 1.6173,             0.00021359,             0.00021359,             0.00021359
                     69,                 1.9114,                0.84975,                 1.6316,                0.88349,                 0.9037,                0.92954,                 0.6686,                 1.8129,                0.91705,                 1.6192,             0.00019813,             0.00019813,             0.00019813
                     70,                 1.8781,                0.83838,                 1.6264,                0.90675,                0.87791,                0.92647,                0.66755,                 1.7971,                0.90453,                 1.6174,             0.00018266,             0.00018266,             0.00018266
                     71,                 1.8136,                0.79128,                 1.6271,                0.91364,                0.87984,                0.92839,                0.66622,                 1.8162,                0.92355,                 1.6203,             0.00016719,             0.00016719,             0.00016719
                     72,                 1.7812,                0.77136,                 1.6209,                0.89366,                0.90837,                0.93003,                0.66381,                  1.808,                0.90376,                 1.6193,             0.00015172,             0.00015172,             0.00015172
                     73,                  1.786,                0.76172,                 1.6287,                0.90369,                0.89038,                0.91711,                0.66162,                  1.799,                0.93177,                  1.621,             0.00013625,             0.00013625,             0.00013625
                     74,                 1.7765,                0.75375,                 1.6243,                0.91054,                0.88952,                 0.9181,                0.65857,                 1.8073,                0.94156,                 1.6204,             0.00012078,             0.00012078,             0.00012078
                     75,                 1.7591,                0.74907,                 1.6246,                0.90313,                0.88146,                 0.9224,                0.66668,                 1.7976,                 0.9165,                 1.6184,             0.00010531,             0.00010531,             0.00010531
                     76,                 1.7572,                0.73805,                 1.6318,                0.91154,                0.88103,                0.92793,                0.67165,                 1.7774,                0.89494,                 1.6173,             8.9844e-05,             8.9844e-05,             8.9844e-05
                     77,                 1.7505,                0.73904,                 1.6207,                0.89212,                0.90746,                 0.9278,                0.66956,                  1.795,                0.91203,                 1.6186,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     78,                 1.7304,                0.72531,                 1.6137,                 0.8974,                0.90511,                0.92642,                0.66947,                 1.7917,                0.91253,                 1.6186,             5.8906e-05,             5.8906e-05,             5.8906e-05
                     79,                 1.7359,                0.72469,                 1.6196,                0.90214,                0.90649,                0.92955,                0.67582,                 1.7826,                0.90812,                  1.617,             4.3438e-05,             4.3438e-05,             4.3438e-05
                     80,                 1.7059,                0.71541,                 1.6191,                 0.8902,                0.90023,                0.92575,                0.66855,                 1.7822,                0.91063,                 1.6173,             2.7969e-05,             2.7969e-05,             2.7969e-05
